"Step","Group: protoss_10_vs_11_QMIX - win_rate","Group: protoss_10_vs_11_QMIX - win_rate__MIN","Group: protoss_10_vs_11_QMIX - win_rate__MAX"
"1280001","0","0","0"
"1280003","0","0","0"
"1280025","0","0","0"
"1280035","0","0","0"
"1280055","0","0","0"
"1290008","0","0","0"
"1290015","0.03125","0.03125","0.03125"
"1290026","0","0","0"
"1290027","0","0","0"
"1290028","0","0","0"
"1290046","0.03125","0.03125","0.03125"
"1300006","0","0","0"
"1300011","0.03125","0.03125","0.03125"
"1300024","0","0","0"
"1300030","0","0","0"
"1300049","0","0","0"
"1300058","0","0","0"
"1310021","0.03125","0.03125","0.03125"
"1310035","0","0","0"
"1310038","0","0","0"
"1310049","0","0","0"
"1310060","0","0","0"
"1310062","0","0","0"
"1320001","0","0","0"
"1320011","0.03125","0.03125","0.03125"
"1320013","0","0","0"
"1320019","0","0","0"
"1320032","0.03125","0.03125","0.03125"
"1330007","0","0","0"
"1330012","0","0","0"
"1330014","0.03125","0.03125","0.03125"
"1330020","0","0","0"
"1330053","0","0","0"
"1330071","0","0","0"
"1340003","0","0","0"
"1340024","0","0","0"
"1340049","0.015625","0","0.03125"
"1340055","0","0","0"
"1340061","0","0","0"
"1350005","0","0","0"
"1350007","0","0","0"
"1350019","0","0","0"
"1350037","0","0","0"
"1350040","0.0625","0.0625","0.0625"
"1350049","0","0","0"
"1360001","0","0","0"
"1360021","0","0","0"
"1360024","0","0","0"
"1360035","0","0","0"
"1360036","0","0","0"
"1360046","0","0","0"
"1370011","0","0","0"
"1370012","0","0","0"
"1370021","0.03125","0.03125","0.03125"
"1370028","0","0","0"
"1370047","0.03125","0.03125","0.03125"
"1370048","0","0","0"
"1380006","0","0","0"
"1380014","0","0","0"
"1380026","0","0","0"
"1380042","0","0","0"
"1380043","0","0","0"
"1380053","0","0","0"
"1390009","0","0","0"
"1390020","0","0","0"
"1390027","0.03125","0.03125","0.03125"
"1390032","0","0","0"
"1390037","0.03125","0.03125","0.03125"
"1390045","0","0","0"
"1400000","0.03125","0.03125","0.03125"
"1400005","0","0","0"
"1400030","0","0","0"
"1400038","0.03125","0.03125","0.03125"
"1400056","0","0","0"
"1400127","0","0","0"
"1410000","0","0","0"
"1410025","0","0","0"
"1410042","0","0","0"
"1410053","0","0","0"
"1410061","0","0","0"
"1410063","0.03125","0.03125","0.03125"
"1420016","0","0","0"
"1420020","0.03125","0.03125","0.03125"
"1420041","0","0","0"
"1420047","0","0","0"
"1420054","0","0","0"
"1420064","0","0","0"
"1430011","0","0","0"
"1430021","0.03125","0.03125","0.03125"
"1430022","0.0625","0.0625","0.0625"
"1430025","0.0625","0.0625","0.0625"
"1430035","0","0","0"
"1430037","0","0","0"
"1440006","0.03125","0.03125","0.03125"
"1440027","0","0","0"
"1440028","0","0","0"
"1440032","0","0","0"
"1440048","0.03125","0.03125","0.03125"
"1440050","0.03125","0.03125","0.03125"
"1450005","0","0","0"
"1450022","0","0","0"
"1450026","0","0","0"
"1450034","0.03125","0.03125","0.03125"
"1450044","0","0","0"
"1450045","0","0","0"
"1460001","0","0","0"
"1460008","0","0","0"
"1460049","0.0625","0.0625","0.0625"
"1460051","0.03125","0.03125","0.03125"
"1460052","0","0","0"
"1460060","0","0","0"
"1470001","0.03125","0.03125","0.03125"
"1470005","0.0625","0.0625","0.0625"
"1470017","0","0","0"
"1470028","0","0","0"
"1470044","0.03125","0.03125","0.03125"
"1470051","0.03125","0.03125","0.03125"
"1480002","0","0","0"
"1480003","0","0","0"
"1480004","0","0","0"
"1480011","0","0","0"
"1480032","0","0","0"
"1480034","0.09375","0.09375","0.09375"
"1490011","0","0","0"
"1490023","0","0","0"
"1490032","0","0","0"
"1490039","0.03125","0.03125","0.03125"
"1490044","0","0","0"
"1500004","0","0","0"
"1500010","0","0","0"
"1500038","0.03125","0.03125","0.03125"
"1500039","0.03125","0.03125","0.03125"
"1500051","0","0","0"
"1500065","0","0","0"
"1510004","0.03125","0.03125","0.03125"
"1510010","0","0","0"
"1510011","0.03125","0.03125","0.03125"
"1510029","0","0","0"
"1510031","0","0","0"
"1510035","0","0","0"
"1520003","0","0","0"
"1520019","0.03125","0.03125","0.03125"
"1520032","0","0","0"
"1520042","0","0","0"
"1520065","0","0","0"
"1520069","0.03125","0.03125","0.03125"
"1530018","0","0","0"
"1530022","0","0","0"
"1530024","0","0","0"
"1530038","0.015625","0","0.03125"
"1530056","0","0","0"
"1540000","0","0","0"
"1540003","0","0","0"
"1540015","0","0","0"
"1540034","0","0","0"
"1540051","0.03125","0.03125","0.03125"
"1550000","0.0625","0.0625","0.0625"
"1550026","0","0","0"
"1550039","0","0","0"
"1550044","0","0","0"
"1550046","0","0","0"
"1550047","0","0","0"
"1560001","0.03125","0.03125","0.03125"
"1560020","0","0","0"
"1560035","0","0","0"
"1560050","0.03125","0.03125","0.03125"
"1560063","0","0","0"
"1570005","0","0","0"
"1570007","0","0","0"
"1570022","0","0","0"
"1570029","0","0","0"
"1570031","0.0625","0.0625","0.0625"
"1580007","0.03125","0.03125","0.03125"
"1580010","0.0625","0.0625","0.0625"
"1580022","0","0","0"
"1580034","0","0","0"
"1580037","0.03125","0.03125","0.03125"
"1580042","0.03125","0.03125","0.03125"
"1590017","0","0","0"
"1590022","0.03125","0.03125","0.03125"
"1590032","0","0","0"
"1590037","0","0","0"
"1590041","0.03125","0.03125","0.03125"
"1590140","0","0","0"
"1600005","0","0","0"
"1600017","0","0","0"
"1600027","0","0","0"
"1600039","0","0","0"
"1600048","0","0","0"
"1600054","0","0","0"
"1610000","0","0","0"
"1610011","0","0","0"
"1610024","0.09375","0.09375","0.09375"
"1610032","0","0","0"
"1610034","0","0","0"
"1610044","0","0","0"
"1620000","0","0","0"
"1620018","0","0","0"
"1620025","0.03125","0.03125","0.03125"
