"Step","Group: protoss_10_vs_11_ACORM - win_rate","Group: protoss_10_vs_11_ACORM - win_rate__MIN","Group: protoss_10_vs_11_ACORM - win_rate__MAX"
"1200259","0","0","0"
"1210222","0.0625","0.0625","0.0625"
"1210223","0.0625","0.0625","0.0625"
"1210240","0.0625","0.0625","0.0625"
"1210244","0.03125","0.03125","0.03125"
"1210249","0","0","0"
"1210259","0.03125","0.03125","0.03125"
"1220221","0.15625","0.15625","0.15625"
"1220241","0","0","0"
"1220243","0","0","0"
"1220273","0.09375","0.09375","0.09375"
"1220290","0.0625","0.0625","0.0625"
"1220295","0.15625","0.15625","0.15625"
"1230231","0.03125","0.03125","0.03125"
"1230236","0.03125","0.03125","0.03125"
"1230248","0.03125","0.03125","0.03125"
"1230263","0.0625","0.0625","0.0625"
"1230276","0.09375","0.09375","0.09375"
"1230296","0.03125","0.03125","0.03125"
"1240250","0.046875","0","0.09375"
"1240255","0.03125","0.03125","0.03125"
"1240262","0.0625","0.0625","0.0625"
"1240271","0.09375","0.09375","0.09375"
"1240272","0","0","0"
"1250224","0","0","0"
"1250240","0.125","0.125","0.125"
"1250250","0.03125","0.03125","0.03125"
"1250255","0.03125","0.03125","0.03125"
"1250257","0","0","0"
"1250269","0.0625","0.0625","0.0625"
"1260220","0.0625","0.0625","0.0625"
"1260228","0.03125","0.03125","0.03125"
"1260229","0.125","0.125","0.125"
"1260241","0","0","0"
"1260249","0.125","0.125","0.125"
"1260257","0.03125","0.03125","0.03125"
"1270227","0.09375","0.09375","0.09375"
"1270236","0.0625","0.0625","0.0625"
"1270256","0","0","0"
"1270262","0.0625","0.0625","0.0625"
"1270265","0.03125","0.03125","0.03125"
"1270287","0.0625","0.0625","0.0625"
"1280257","0.0625","0.0625","0.0625"
"1280261","0.09375","0.09375","0.09375"
"1280269","0.09375","0.09375","0.09375"
"1280271","0.046875","0.03125","0.0625"
"1280279","0.09375","0.09375","0.09375"
"1290239","0.15625","0.15625","0.15625"
"1290242","0.03125","0.03125","0.03125"
"1290248","0.03125","0.03125","0.03125"
"1290262","0.03125","0.03125","0.03125"
"1290264","0.09375","0.09375","0.09375"
"1290277","0","0","0"
"1300223","0.0625","0.0625","0.0625"
"1300230","0","0","0"
"1300252","0.09375","0.09375","0.09375"
"1300261","0.03125","0.03125","0.03125"
"1300269","0","0","0"
"1300272","0.03125","0.03125","0.03125"
"1310248","0.03125","0.03125","0.03125"
"1310250","0.0625","0.0625","0.0625"
"1310251","0","0","0"
"1310257","0","0","0"
"1310262","0.0625","0.0625","0.0625"
"1310309","0","0","0"
"1320236","0.03125","0.03125","0.03125"
"1320239","0.1875","0.1875","0.1875"
"1320267","0.0625","0.0625","0.0625"
"1320277","0.0625","0.0625","0.0625"
"1320287","0","0","0"
"1320289","0.03125","0.03125","0.03125"
"1330221","0","0","0"
"1330223","0.125","0.125","0.125"
"1330226","0.09375","0.09375","0.09375"
"1330232","0.03125","0.03125","0.03125"
"1330233","0.0625","0.0625","0.0625"
"1330243","0.03125","0.03125","0.03125"
"1340223","0.03125","0.03125","0.03125"
"1340229","0","0","0"
"1340245","0","0","0"
"1340253","0.125","0.125","0.125"
"1340256","0.03125","0.03125","0.03125"
"1340284","0.09375","0.09375","0.09375"
"1350225","0.0625","0.0625","0.0625"
"1350232","0","0","0"
"1350236","0.125","0.125","0.125"
