"Step","Group: terran_10_vs_11_ACORM - win_rate","Group: terran_10_vs_11_ACORM - win_rate__MIN","Group: terran_10_vs_11_ACORM - win_rate__MAX"
"1170607","0.125","0.125","0.125"
"1170609","0.15625","0.15625","0.15625"
"1170612","0.125","0.125","0.125"
"1170639","0.125","0.125","0.125"
"1170642","0.0625","0.0625","0.0625"
"1180601","0.15625","0.15625","0.15625"
"1180605","0.109375","0.09375","0.125"
"1180630","0.21875","0.21875","0.21875"
"1180641","0.0625","0.0625","0.0625"
"1180645","0.09375","0.09375","0.09375"
"1190603","0.125","0.125","0.125"
"1190617","0.1875","0.1875","0.1875"
"1190624","0.078125","0.0625","0.09375"
"1190627","0.21875","0.21875","0.21875"
"1190641","0.0625","0.0625","0.0625"
"1200625","0.03125","0.03125","0.03125"
"1200633","0.15625","0.15625","0.15625"
"1200635","0.15625","0.15625","0.15625"
"1200637","0.0625","0.0625","0.0625"
"1200649","0.15625","0.15625","0.15625"
"1200669","0.15625","0.15625","0.15625"
"1210601","0.375","0.375","0.375"
"1210606","0.09375","0.09375","0.09375"
"1210631","0.21875","0.21875","0.21875"
"1210649","0.15625","0.15625","0.15625"
"1210657","0.125","0.125","0.125"
"1210659","0.15625","0.15625","0.15625"
"1220602","0.21875","0.21875","0.21875"
"1220625","0.09375","0.09375","0.09375"
"1220635","0.03125","0.03125","0.03125"
"1220638","0.125","0.125","0.125"
"1220639","0.03125","0.03125","0.03125"
"1220665","0.09375","0.09375","0.09375"
"1230600","0.15625","0.15625","0.15625"
"1230602","0.1875","0.1875","0.1875"
"1230613","0.28125","0.28125","0.28125"
"1230648","0.0625","0.0625","0.0625"
"1230662","0.0625","0.0625","0.0625"
"1230718","0.25","0.25","0.25"
"1240602","0.125","0.125","0.125"
"1240616","0.0625","0.0625","0.0625"
"1240621","0.3125","0.3125","0.3125"
"1240625","0.15625","0.15625","0.15625"
"1240628","0.0625","0.0625","0.0625"
"1240653","0.1875","0.1875","0.1875"
"1250602","0.0625","0.0625","0.0625"
"1250605","0.375","0.375","0.375"
"1250639","0.125","0.125","0.125"
"1250642","0.1875","0.1875","0.1875"
"1250650","0.0625","0.0625","0.0625"
"1250660","0.28125","0.28125","0.28125"
"1260613","0.09375","0.09375","0.09375"
"1260616","0.09375","0.09375","0.09375"
"1260621","0.15625","0.15625","0.15625"
"1260633","0.09375","0.09375","0.09375"
"1260634","0.25","0.25","0.25"
"1260689","0.0625","0.0625","0.0625"
"1270618","0.0625","0.0625","0.0625"
"1270620","0.03125","0.03125","0.03125"
"1270623","0.34375","0.34375","0.34375"
"1270625","0.1875","0.1875","0.1875"
"1270636","0.15625","0.15625","0.15625"
"1270639","0.125","0.125","0.125"
"1280600","0.3125","0.3125","0.3125"
"1280604","0.0625","0.03125","0.09375"
"1280615","0.15625","0.15625","0.15625"
"1280627","0.1875","0.1875","0.1875"
"1280648","0.09375","0.09375","0.09375"
"1290607","0.21875","0.21875","0.21875"
"1290612","0.0625","0.0625","0.0625"
"1290617","0.125","0.125","0.125"
"1290623","0.171875","0.09375","0.25"
"1290650","0.03125","0.03125","0.03125"
"1300628","0.03125","0.03125","0.03125"
"1300641","0.25","0.25","0.25"
"1300647","0.15625","0.15625","0.15625"
"1300648","0.125","0.125","0.125"
"1300656","0.09375","0.09375","0.09375"
"1300670","0.09375","0.09375","0.09375"
"1310601","0.375","0.375","0.375"
"1310619","0.0625","0.0625","0.0625"
"1310630","0.0625","0.0625","0.0625"
"1310642","0.125","0.125","0.125"
"1310648","0.1875","0.1875","0.1875"
"1310649","0.21875","0.21875","0.21875"
"1320604","0.15625","0.15625","0.15625"
"1320610","0.125","0.125","0.125"
"1320617","0.25","0.25","0.25"
"1320622","0.09375","0.09375","0.09375"
"1320632","0.0625","0.0625","0.0625"
"1320637","0.09375","0.09375","0.09375"
"1330615","0.21875","0.21875","0.21875"
"1330624","0.21875","0.21875","0.21875"
"1330632","0.1875","0.1875","0.1875"
"1330642","0.125","0.125","0.125"
"1330645","0.1875","0.1875","0.1875"
"1330649","0.15625","0.15625","0.15625"
"1340608","0.4375","0.4375","0.4375"
"1340609","0.25","0.25","0.25"
"1340622","0.125","0.125","0.125"
"1340630","0.0625","0.0625","0.0625"
"1340635","0.1875","0.1875","0.1875"
"1340646","0.03125","0.03125","0.03125"
"1350614","0.21875","0.21875","0.21875"
"1350623","0.125","0.125","0.125"
"1350624","0.0625","0.0625","0.0625"
"1350661","0.15625","0.15625","0.15625"
"1350672","0.15625","0.15625","0.15625"
"1350712","0.15625","0.15625","0.15625"
"1360602","0.40625","0.40625","0.40625"
"1360612","0.125","0.125","0.125"
"1360622","0.09375","0.09375","0.09375"
"1360628","0.09375","0.09375","0.09375"
"1360629","0.0625","0.0625","0.0625"
"1360658","0.15625","0.15625","0.15625"
