"Step","Group: terran_10_vs_11_QMIX - win_rate","Group: terran_10_vs_11_QMIX - win_rate__MIN","Group: terran_10_vs_11_QMIX - win_rate__MAX"
"1170038","0.03125","0.03125","0.03125"
"1180007","0.03125","0.03125","0.03125"
"1180013","0","0","0"
"1180022","0","0","0"
"1180023","0","0","0"
"1180029","0.03125","0.03125","0.03125"
"1180044","0","0","0"
"1190003","0","0","0"
"1190008","0","0","0"
"1190009","0","0","0"
"1190026","0.03125","0.03125","0.03125"
"1190044","0","0","0"
"1190095","0.09375","0.09375","0.09375"
"1200000","0.15625","0.15625","0.15625"
"1200002","0.09375","0.09375","0.09375"
"1200010","0.09375","0.09375","0.09375"
"1200014","0.03125","0.03125","0.03125"
"1200034","0","0","0"
"1200035","0","0","0"
"1210006","0","0","0"
"1210021","0","0","0"
"1210023","0","0","0"
"1210024","0","0","0"
"1210116","0","0","0"
"1220008","0.09375","0.09375","0.09375"
"1220012","0","0","0"
"1220013","0","0","0"
"1220026","0","0","0"
"1220045","0.0625","0.0625","0.0625"
"1220059","0.03125","0.03125","0.03125"
"1230003","0.03125","0.03125","0.03125"
"1230007","0.03125","0.03125","0.03125"
"1230008","0","0","0"
"1230014","0.046875","0","0.09375"
"1230026","0","0","0"
"1240015","0.03125","0.03125","0.03125"
"1240018","0.03125","0.03125","0.03125"
"1240022","0.03125","0.03125","0.03125"
"1240030","0.03125","0.03125","0.03125"
"1240045","0.0625","0.0625","0.0625"
"1240075","0","0","0"
"1250004","0.015625","0","0.03125"
"1250021","0.03125","0.03125","0.03125"
"1250023","0.09375","0.09375","0.09375"
"1250025","0","0","0"
"1250034","0.09375","0.09375","0.09375"
"1260008","0.0625","0.0625","0.0625"
"1260014","0","0","0"
"1260020","0.0625","0.0625","0.0625"
"1260023","0.0625","0.0625","0.0625"
"1260027","0.03125","0.03125","0.03125"
"1260034","0","0","0"
"1270016","0","0","0"
"1270019","0.03125","0.03125","0.03125"
"1270022","0","0","0"
"1270029","0","0","0"
"1270039","0","0","0"
"1270045","0.125","0.125","0.125"
"1280006","0.03125","0.03125","0.03125"
"1280018","0.0625","0.0625","0.0625"
"1280023","0.0625","0.0625","0.0625"
"1280026","0.09375","0.09375","0.09375"
"1280039","0","0","0"
"1280042","0","0","0"
"1290011","0.09375","0.09375","0.09375"
"1290017","0","0","0"
"1290019","0","0","0"
"1290020","0","0","0"
"1290035","0","0","0"
"1290114","0","0","0"
"1300002","0.09375","0.09375","0.09375"
"1300027","0.03125","0.03125","0.03125"
"1300030","0","0","0"
"1300042","0","0","0"
"1300049","0","0","0"
"1300079","0.03125","0.03125","0.03125"
"1310011","0.03125","0.03125","0.03125"
"1310036","0.03125","0.03125","0.03125"
"1310044","0","0","0"
"1310054","0.03125","0.03125","0.03125"
"1310056","0","0","0"
"1310058","0.03125","0.03125","0.03125"
"1320002","0.0625","0.0625","0.0625"
"1320005","0","0","0"
"1320016","0.03125","0.03125","0.03125"
"1320019","0.03125","0.03125","0.03125"
"1320023","0","0","0"
"1320033","0","0","0"
"1330010","0","0","0"
"1330015","0","0","0"
"1330018","0.03125","0.03125","0.03125"
"1330019","0","0","0"
"1330020","0","0","0"
"1330047","0.03125","0.03125","0.03125"
"1340000","0.125","0.125","0.125"
"1340030","0","0","0"
"1340033","0","0","0"
"1340051","0.0625","0.0625","0.0625"
"1340088","0","0","0"
"1340089","0","0","0"
"1350007","0","0","0"
"1350010","0","0","0"
"1350016","0","0","0"
"1350024","0.09375","0.09375","0.09375"
"1350033","0.03125","0.03125","0.03125"
"1350044","0","0","0"
"1360014","0.03125","0.03125","0.03125"
"1360016","0","0","0"
"1360022","0","0","0"
"1360036","0","0","0"
"1360042","0.03125","0","0.0625"
"1370007","0.03125","0.03125","0.03125"
"1370020","0","0","0"
"1370021","0.03125","0.03125","0.03125"
"1370025","0.03125","0.03125","0.03125"
"1370026","0.03125","0.03125","0.03125"
"1370029","0.0625","0.0625","0.0625"
"1380002","0.03125","0.03125","0.03125"
"1380015","0.03125","0.03125","0.03125"
"1380017","0.0625","0.0625","0.0625"
"1380025","0","0","0"
"1380031","0.03125","0.03125","0.03125"
"1380033","0","0","0"
"1390003","0.03125","0","0.0625"
"1390007","0","0","0"
"1390022","0","0","0"
"1390044","0.0625","0.0625","0.0625"
"1390049","0.0625","0.0625","0.0625"
"1400001","0.03125","0.03125","0.03125"
"1400006","0","0","0"
"1400010","0.03125","0.03125","0.03125"
"1400012","0.0625","0.0625","0.0625"
"1400025","0","0","0"
"1400038","0.03125","0.03125","0.03125"
"1410005","0","0","0"
"1410011","0.03125","0.03125","0.03125"
"1410025","0","0","0"
"1410036","0.03125","0.03125","0.03125"
"1410044","0.03125","0.03125","0.03125"
"1410050","0.03125","0.03125","0.03125"
"1420004","0.0625","0.0625","0.0625"
"1420014","0","0","0"
"1420018","0.03125","0.03125","0.03125"
"1420022","0.0625","0.0625","0.0625"
"1420028","0.03125","0.03125","0.03125"
"1420041","0.03125","0.03125","0.03125"
"1430004","0.03125","0.03125","0.03125"
"1430016","0.0625","0.0625","0.0625"
"1430023","0.0625","0.0625","0.0625"
"1430035","0.03125","0.03125","0.03125"
"1430058","0","0","0"
"1430147","0.0625","0.0625","0.0625"
"1440008","0.03125","0.03125","0.03125"
"1440013","0.03125","0.03125","0.03125"
"1440015","0.03125","0.03125","0.03125"
"1440018","0.03125","0.03125","0.03125"
"1440032","0.03125","0.03125","0.03125"
"1440034","0.0625","0.0625","0.0625"
"1450014","0.03125","0.03125","0.03125"
"1450018","0.03125","0.03125","0.03125"
"1450021","0","0","0"
"1450026","0.03125","0.03125","0.03125"
"1450049","0.0625","0.0625","0.0625"
"1450051","0","0","0"
"1460003","0.03125","0.03125","0.03125"
"1460005","0","0","0"
"1460026","0.0625","0.0625","0.0625"
"1460028","0","0","0"
"1460041","0.09375","0.09375","0.09375"
"1460069","0.03125","0.03125","0.03125"
"1470017","0.0625","0.0625","0.0625"
"1470021","0","0","0"
"1470022","0","0","0"
"1470026","0","0","0"
"1470092","0.03125","0.03125","0.03125"
"1470120","0","0","0"
"1480004","0.03125","0.03125","0.03125"
"1480011","0.0625","0.0625","0.0625"
"1480014","0.03125","0.03125","0.03125"
"1480020","0.09375","0.09375","0.09375"
"1480022","0","0","0"
"1480040","0","0","0"
"1490003","0.046875","0.03125","0.0625"
"1490005","0.0625","0.0625","0.0625"
"1490010","0.03125","0.03125","0.03125"
"1490011","0.03125","0.03125","0.03125"
"1490049","0","0","0"
"1500003","0","0","0"
"1500008","0.03125","0.03125","0.03125"
"1500017","0.125","0.125","0.125"
"1500030","0.03125","0.03125","0.03125"
"1500031","0","0","0"
"1500032","0","0","0"
