"Step","Group: corridor_QMIX - win_rate","Group: corridor_QMIX - win_rate__MIN","Group: corridor_QMIX - win_rate__MAX"
"1610004","0","0","0"
"1610012","0","0","0"
"1610013","0","0","0"
"1610016","0","0","0"
"1610019","0","0","0"
"1620000","0","0","0"
"1620001","0","0","0"
"1620008","0","0","0"
"1620009","0","0","0"
"1620016","0","0","0"
"1620020","0","0","0"
"1630002","0","0","0"
"1630007","0","0","0"
"1630011","0","0","0"
"1630013","0","0","0"
"1630014","0","0","0"
"1630016","0","0","0"
"1640005","0","0","0"
"1640006","0","0","0"
"1640017","0","0","0"
"1640019","0","0","0"
"1640026","0","0","0"
"1650006","0","0","0"
"1650015","0","0","0"
"1650017","0","0","0"
"1650018","0","0","0"
"1650025","0","0","0"
"1650028","0","0","0"
"1660004","0","0","0"
"1660014","0","0","0"
"1660018","0","0","0"
"1660020","0","0","0"
"1660024","0","0","0"
"1660030","0","0","0"
"1670013","0","0","0"
"1670021","0","0","0"
"1670025","0","0","0"
"1670029","0","0","0"
"1670031","0","0","0"
"1680000","0","0","0"
"1680001","0","0","0"
"1680003","0","0","0"
"1680004","0","0","0"
"1680025","0","0","0"
"1690001","0","0","0"
"1690002","0","0","0"
"1690012","0","0","0"
"1690015","0","0","0"
"1690021","0","0","0"
"1690032","0","0","0"
"1700000","0","0","0"
"1700001","0","0","0"
"1700005","0","0","0"
"1700008","0","0","0"
"1700015","0","0","0"
"1700019","0","0","0"
"1710000","0","0","0"
"1710004","0","0","0"
"1710006","0","0","0"
"1710013","0","0","0"
"1710015","0","0","0"
"1710019","0","0","0"
"1720004","0","0","0"
"1720013","0","0","0"
"1720014","0","0","0"
"1720020","0","0","0"
"1720023","0","0","0"
"1720032","0","0","0"
"1730009","0","0","0"
"1730013","0","0","0"
"1730023","0","0","0"
"1730026","0","0","0"
"1730030","0","0","0"
"1730036","0","0","0"
"1740009","0","0","0"
"1740015","0","0","0"
"1740018","0","0","0"
"1740021","0","0","0"
"1740034","0","0","0"
"1750005","0","0","0"
"1750014","0","0","0"
"1750020","0","0","0"
"1750023","0","0","0"
"1750024","0","0","0"
"1750036","0","0","0"
"1760006","0","0","0"
"1760014","0","0","0"
"1760018","0","0","0"
"1760019","0","0","0"
"1760021","0","0","0"
"1760023","0","0","0"
"1770004","0","0","0"
"1770011","0","0","0"
"1770013","0","0","0"
"1770014","0","0","0"
"1770015","0","0","0"
"1770025","0","0","0"
"1780000","0","0","0"
"1780003","0","0","0"
"1780004","0","0","0"
"1780006","0","0","0"
"1780010","0","0","0"
"1780017","0","0","0"
"1790000","0","0","0"
"1790006","0","0","0"
"1790016","0","0","0"
"1790026","0","0","0"
"1790030","0","0","0"
"1800018","0","0","0"
"1800019","0","0","0"
"1800023","0","0","0"
"1800030","0","0","0"
"1800034","0","0","0"
"1810001","0","0","0"
"1810002","0","0","0"
"1810009","0","0","0"
"1810025","0","0","0"
"1810027","0","0","0"
"1810028","0","0","0"
"1820001","0","0","0"
"1820002","0","0","0"
"1820005","0","0","0"
"1820009","0","0","0"
"1820026","0","0","0"
"1820029","0","0","0"
"1830000","0","0","0"
"1830005","0","0","0"
"1830009","0","0","0"
"1830011","0","0","0"
"1830026","0","0","0"
"1840003","0","0","0"
"1840004","0","0","0"
"1840006","0","0","0"
"1840021","0","0","0"
"1840029","0","0","0"
"1840032","0","0","0"
"1850002","0","0","0"
"1850007","0","0","0"
"1850018","0","0","0"
"1850028","0","0","0"
"1850031","0","0","0"
"1850034","0","0","0"
"1860009","0","0","0"
"1860013","0","0","0"
"1860014","0","0","0"
"1860017","0","0","0"
"1860025","0","0","0"
"1870003","0","0","0"
"1870022","0","0","0"
"1870028","0","0","0"
"1880002","0","0","0"
"1880011","0","0","0"
"1880025","0","0","0"
"1880026","0","0","0"
"1880030","0","0","0"
"1880034","0","0","0"
"1890003","0","0","0"
"1890004","0","0","0"
"1890011","0","0","0"
"1890014","0","0","0"
"1890021","0","0","0"
"1890031","0","0","0"
"1900002","0","0","0"
"1900004","0","0","0"
"1900023","0","0","0"
"1900025","0","0","0"
"1900029","0","0","0"
"1910009","0","0","0"
"1910010","0","0","0"
"1910011","0","0","0"
"1910021","0","0","0"
"1910031","0","0","0"
"1920000","0","0","0"
"1920008","0","0","0"
"1920013","0","0","0"
"1920028","0","0","0"
"1920029","0","0","0"
"1920032","0","0","0"
"1930021","0","0","0"
"1930022","0","0","0"
"1930023","0","0","0"
"1930026","0","0","0"
"1930031","0","0","0"
"1930032","0","0","0"
"1940010","0","0","0"
"1940016","0","0","0"
"1940020","0","0","0"
"1940025","0","0","0"
"1940026","0","0","0"
"1940029","0","0","0"
"1950008","0","0","0"
"1950014","0","0","0"
"1950015","0","0","0"
"1950018","0","0","0"
"1950022","0","0","0"
"1960004","0","0","0"
"1960006","0","0","0"
"1960007","0","0","0"
"1960016","0","0","0"
"1960026","0","0","0"
"1960032","0","0","0"
"1970005","0","0","0"
"1970006","0","0","0"
"1970007","0","0","0"
"1970010","0","0","0"
"1970012","0","0","0"
"1970017","0","0","0"
"1980004","0","0","0"
"1980009","0","0","0"
"1980011","0","0","0"
"1980025","0","0","0"
"1980026","0","0","0"
"1990008","0","0","0"
"1990009","0","0","0"
"1990010","0","0","0"
"1990012","0","0","0"
"1990013","0","0","0"
"1990030","0","0","0"
"2000001","0","0","0"
"2000012","0","0","0"
"2000024","0","0","0"
"2000031","0","0","0"
