"Step","Group: 3s5z_vs_3s6z_ACORM_WMnocl - win_rate","Group: 3s5z_vs_3s6z_ACORM_WMnocl - win_rate__MIN","Group: 3s5z_vs_3s6z_ACORM_WMnocl - win_rate__MAX"
"1400222","0.71875","0.71875","0.71875"
"1400242","0.03125","0.03125","0.03125"
"1400256","0.28125","0.28125","0.28125"
"1400260","0.40625","0.40625","0.40625"
"1400296","0.03125","0.03125","0.03125"
"1400300","0.0625","0.0625","0.0625"
"1410236","0.4375","0.4375","0.4375"
"1410256","0.71875","0.71875","0.71875"
"1410262","0.1875","0.1875","0.1875"
"1410301","0.03125","0.03125","0.03125"
"1410316","0.1875","0.1875","0.1875"
"1410367","0.03125","0.03125","0.03125"
"1420231","0.6875","0.6875","0.6875"
"1420242","0.09375","0.09375","0.09375"
"1420291","0.3125","0.3125","0.3125"
"1420293","0","0","0"
"1420295","0.46875","0.46875","0.46875"
"1420298","0.3125","0.3125","0.3125"
"1430229","0.3125","0.3125","0.3125"
"1430258","0.1875","0.1875","0.1875"
"1430291","0","0","0"
"1430298","0.25","0.25","0.25"
"1430302","0.375","0.375","0.375"
"1430307","0.03125","0.03125","0.03125"
"1440223","0.0625","0","0.125"
"1440228","0.4375","0.4375","0.4375"
"1440259","0.8125","0.8125","0.8125"
"1440261","0","0","0"
"1440298","0.1875","0.1875","0.1875"
"1450227","0.40625","0.40625","0.40625"
"1450231","0.5625","0.5625","0.5625"
"1450257","0.15625","0.15625","0.15625"
"1450264","0","0","0"
"1450288","0.3125","0.3125","0.3125"
"1450323","0.15625","0.15625","0.15625"
"1460224","0.375","0.375","0.375"
"1460237","0.6875","0.6875","0.6875"
"1460264","0.09375","0.09375","0.09375"
"1460285","0.28125","0.28125","0.28125"
"1460303","0.4375","0.4375","0.4375"
"1460364","0","0","0"
"1470251","0.25","0.25","0.25"
"1470253","0.15625","0.15625","0.15625"
"1470270","0.40625","0.40625","0.40625"
"1470277","0.65625","0.65625","0.65625"
"1470365","0","0","0"
"1470381","0.59375","0.59375","0.59375"
"1480221","0.46875","0.46875","0.46875"
"1480227","0.875","0.875","0.875"
"1480243","0.46875","0.46875","0.46875"
"1480268","0.03125","0.03125","0.03125"
"1480322","0.34375","0.34375","0.34375"
"1480323","0","0","0"
"1490227","0.8125","0.8125","0.8125"
"1490248","0.375","0.375","0.375"
"1490276","0.4375","0.4375","0.4375"
"1490286","0.5","0.5","0.5"
"1490287","0","0","0"
"1490301","0.0625","0.0625","0.0625"
"1500247","0.6875","0.6875","0.6875"
"1500290","0.71875","0.71875","0.71875"
"1500305","0.15625","0.15625","0.15625"
"1500330","0.125","0.125","0.125"
"1500384","0.0625","0.0625","0.0625"
"1500385","0.34375","0.34375","0.34375"
"1510247","0.59375","0.59375","0.59375"
"1510254","0.53125","0.53125","0.53125"
"1510255","0.59375","0.59375","0.59375"
"1510261","0.71875","0.71875","0.71875"
"1510293","0.15625","0.15625","0.15625"
"1510379","0.03125","0.03125","0.03125"
"1520222","0.25","0.25","0.25"
"1520247","0.0625","0.0625","0.0625"
"1520264","0.65625","0.65625","0.65625"
"1520279","0.875","0.875","0.875"
"1520290","0.5","0.5","0.5"
"1520296","0.0625","0.0625","0.0625"
"1530235","0.4375","0.4375","0.4375"
"1530243","0.03125","0.03125","0.03125"
"1530247","0.59375","0.59375","0.59375"
"1530249","0.90625","0.90625","0.90625"
"1530311","0.0625","0.0625","0.0625"
"1530377","0.5625","0.5625","0.5625"
"1540244","0.59375","0.59375","0.59375"
"1540261","0.125","0.125","0.125"
"1540272","0.6875","0.6875","0.6875"
"1540282","0.375","0.375","0.375"
"1540312","0.46875","0.46875","0.46875"
"1540325","0.0625","0.0625","0.0625"
"1550229","0.625","0.625","0.625"
