"Step","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MIN","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MAX"
"1320242","0.53125","0.53125","0.53125"
"1320270","0.8125","0.8125","0.8125"
"1320276","0.4375","0.4375","0.4375"
"1320341","0.25","0.25","0.25"
"1320353","0.71875","0.71875","0.71875"
"1330227","0.53125","0.53125","0.53125"
"1330240","0.875","0.875","0.875"
"1330274","0.625","0.625","0.625"
"1330286","0.6875","0.6875","0.6875"
"1330299","0.78125","0.78125","0.78125"
"1330315","0.46875","0.46875","0.46875"
"1340240","0.4375","0.4375","0.4375"
"1340242","0.5625","0.5625","0.5625"
"1340243","0.28125","0.28125","0.28125"
"1340265","0.8125","0.8125","0.8125"
"1340271","0.84375","0.84375","0.84375"
"1340289","0.5625","0.5625","0.5625"
"1350236","0.28125","0.28125","0.28125"
"1350238","0.5625","0.5625","0.5625"
"1350250","0.6875","0.6875","0.6875"
"1350255","0.78125","0.78125","0.78125"
"1350276","0.5","0.5","0.5"
"1350289","0.84375","0.84375","0.84375"
"1360240","0.71875","0.71875","0.71875"
"1360263","0.84375","0.84375","0.84375"
"1360264","0.84375","0.84375","0.84375"
"1360289","0.34375","0.34375","0.34375"
"1360303","0.625","0.625","0.625"
"1360376","0.28125","0.28125","0.28125"
"1370247","0.3125","0.3125","0.3125"
"1370259","0.75","0.75","0.75"
"1370279","0.6875","0.6875","0.6875"
"1370301","0.84375","0.84375","0.84375"
"1370375","0.5625","0.5625","0.5625"
"1370376","0.375","0.375","0.375"
"1380229","0.78125","0.78125","0.78125"
"1380230","0.90625","0.90625","0.90625"
"1380231","0.71875","0.71875","0.71875"
"1380238","0.6875","0.6875","0.6875"
"1380259","0.5","0.5","0.5"
"1380280","0.40625","0.40625","0.40625"
"1390248","0.5625","0.5625","0.5625"
"1390249","0.4375","0.4375","0.4375"
"1390251","0.78125","0.78125","0.78125"
"1390254","0.84375","0.84375","0.84375"
"1390261","0.78125","0.78125","0.78125"
"1390302","0.34375","0.34375","0.34375"
"1400246","0.84375","0.84375","0.84375"
"1400260","0.59375","0.34375","0.84375"
"1400271","0.75","0.75","0.75"
"1400289","0.8125","0.8125","0.8125"
"1400340","0.34375","0.34375","0.34375"
"1410232","0.6875","0.6875","0.6875"
"1410249","0.5","0.5","0.5"
"1410258","0.6875","0.6875","0.6875"
"1410266","0.5625","0.5625","0.5625"
"1410271","0.6875","0.6875","0.6875"
"1410272","0.625","0.625","0.625"
"1420222","0.59375","0.59375","0.59375"
"1420234","0.53125","0.53125","0.53125"
"1420254","0.65625","0.65625","0.65625"
"1420258","0.671875","0.59375","0.75"
"1420317","0.6875","0.6875","0.6875"
"1430231","0.5","0.5","0.5"
"1430233","0.5625","0.5625","0.5625"
"1430272","0.625","0.625","0.625"
"1430289","0.75","0.75","0.75"
"1430290","0.8125","0.8125","0.8125"
"1430309","0.65625","0.65625","0.65625"
"1440245","0.75","0.75","0.75"
"1440250","0.71875","0.71875","0.71875"
"1440283","0.625","0.5625","0.6875"
"1440355","0.4375","0.4375","0.4375"
"1440378","0.5625","0.5625","0.5625"
"1450246","0.53125","0.53125","0.53125"
"1450252","0.59375","0.59375","0.59375"
"1450255","0.75","0.75","0.75"
"1450266","0.84375","0.84375","0.84375"
"1450277","0.8125","0.8125","0.8125"
"1450379","0.625","0.625","0.625"
"1460230","0.8125","0.8125","0.8125"
"1460233","0.46875","0.46875","0.46875"
"1460240","0.78125","0.78125","0.78125"
"1460268","0.9375","0.9375","0.9375"
"1460305","0.96875","0.96875","0.96875"
"1460306","0.4375","0.4375","0.4375"
