"Step","Group: zerg_10_vs_11_ACORM_WM - win_rate","Group: zerg_10_vs_11_ACORM_WM - win_rate__MIN","Group: zerg_10_vs_11_ACORM_WM - win_rate__MAX"
"1430228","0.25","0.25","0.25"
"1430236","0.25","0.25","0.25"
"1430258","0.25","0.25","0.25"
"1440245","0.28125","0.28125","0.28125"
"1440248","0.375","0.375","0.375"
"1440252","0.15625","0.15625","0.15625"
"1440263","0.1875","0.1875","0.1875"
"1440267","0.15625","0.15625","0.15625"
"1450221","0.1875","0.1875","0.1875"
"1450222","0.40625","0.40625","0.40625"
"1450226","0.28125","0.28125","0.28125"
"1450253","0.28125","0.28125","0.28125"
"1450264","0.3125","0.3125","0.3125"
"1460230","0.28125","0.28125","0.28125"
"1460232","0.3125","0.3125","0.3125"
"1460235","0.28125","0.28125","0.28125"
"1460238","0.25","0.25","0.25"
"1460239","0.21875","0.21875","0.21875"
"1470227","0.375","0.375","0.375"
"1470231","0.28125","0.28125","0.28125"
"1470246","0.28125","0.28125","0.28125"
"1470255","0.25","0.25","0.25"
"1470277","0.34375","0.34375","0.34375"
"1480221","0.28125","0.28125","0.28125"
"1480229","0.28125","0.28125","0.28125"
"1480239","0.21875","0.21875","0.21875"
"1480240","0.25","0.21875","0.28125"
"1490225","0.28125","0.28125","0.28125"
"1490233","0.21875","0.21875","0.21875"
"1490238","0.15625","0.15625","0.15625"
"1490243","0.25","0.25","0.25"
"1490248","0.40625","0.40625","0.40625"
"1500225","0.125","0.125","0.125"
"1500233","0.296875","0.28125","0.3125"
"1500255","0.1875","0.1875","0.1875"
"1500264","0.125","0.125","0.125"
"1510221","0.375","0.375","0.375"
"1510225","0.25","0.25","0.25"
"1510226","0.1875","0.1875","0.1875"
"1510254","0.25","0.25","0.25"
"1510268","0.34375","0.34375","0.34375"
"1520220","0.28125","0.28125","0.28125"
"1520221","0.34375","0.34375","0.34375"
"1520230","0.28125","0.28125","0.28125"
"1520234","0.21875","0.21875","0.21875"
"1530220","0.21875","0.21875","0.21875"
"1530231","0.1875","0.1875","0.1875"
"1530249","0.34375","0.34375","0.34375"
"1530251","0.40625","0.40625","0.40625"
