"Step","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MIN","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MAX"
"1000294","0.25","0.25","0.25"
"1000623","0","0","0"
"1010243","0.8125","0.8125","0.8125"
"1010251","0.15625","0.15625","0.15625"
"1010252","0","0","0"
"1010272","0.8125","0.8125","0.8125"
"1010310","0.625","0.625","0.625"
"1010320","0.1875","0.1875","0.1875"
"1010655","0","0","0"
"1020229","0.3125","0.3125","0.3125"
"1020250","0.84375","0.84375","0.84375"
"1020254","0.84375","0.84375","0.84375"
"1020264","0","0","0"
"1020265","0.625","0.625","0.625"
"1020351","0.3125","0.3125","0.3125"
"1020724","0.03125","0.03125","0.03125"
"1030231","0.25","0.25","0.25"
"1030245","0.875","0.875","0.875"
"1030262","0.6875","0.6875","0.6875"
"1030277","0.3125","0.3125","0.3125"
"1030304","0.875","0.875","0.875"
"1030381","0","0","0"
"1030689","0.03125","0.03125","0.03125"
"1040227","0.1875","0.1875","0.1875"
"1040245","0.875","0.875","0.875"
"1040268","0.59375","0.59375","0.59375"
"1040276","0.25","0.25","0.25"
"1040291","0.1875","0.1875","0.1875"
"1040371","0","0","0"
"1040762","0","0","0"
"1050229","0.65625","0.65625","0.65625"
"1050267","0.28125","0.28125","0.28125"
"1050273","0.8125","0.8125","0.8125"
"1050300","0.4375","0.4375","0.4375"
"1050319","0.1875","0.1875","0.1875"
"1050388","0.03125","0.03125","0.03125"
"1050688","0","0","0"
"1060229","0.21875","0.21875","0.21875"
"1060247","0.25","0.25","0.25"
"1060262","0.3125","0.3125","0.3125"
"1060273","0.5","0.5","0.5"
"1060301","0.71875","0.71875","0.71875"
"1060314","0","0","0"
"1060720","0.03125","0.03125","0.03125"
"1070225","0.65625","0.65625","0.65625"
"1070232","0.65625","0.65625","0.65625"
"1070258","0.4375","0.4375","0.4375"
"1070274","0.125","0.125","0.125"
"1070275","0.71875","0.71875","0.71875"
"1070345","0","0","0"
"1070752","0","0","0"
"1080222","0.1875","0.1875","0.1875"
"1080240","0.8125","0.8125","0.8125"
"1080248","0.46875","0.46875","0.46875"
"1080249","0.65625","0.65625","0.65625"
