"Step","Group: 3s5z_vs_3s6z_QMIX - win_rate","Group: 3s5z_vs_3s6z_QMIX - win_rate__MIN","Group: 3s5z_vs_3s6z_QMIX - win_rate__MAX"
"1550063","0","0","0"
"1550117","0","0","0"
"1560005","0","0","0"
"1560027","0","0","0"
"1560042","0","0","0"
"1560051","0","0","0"
"1560073","0","0","0"
"1560145","0","0","0"
"1570030","0","0","0"
"1570037","0","0","0"
"1570073","0","0","0"
"1570096","0","0","0"
"1570127","0","0","0"
"1580022","0","0","0"
"1580025","0","0","0"
"1580064","0","0","0"
"1580085","0","0","0"
"1580111","0","0","0"
"1580123","0","0","0"
"1590005","0","0","0"
"1590019","0","0","0"
"1590027","0","0","0"
"1590039","0","0","0"
"1590063","0","0","0"
"1590145","0","0","0"
"1600004","0","0","0"
"1600035","0","0","0"
"1600039","0","0","0"
"1600040","0","0","0"
"1600068","0","0","0"
"1600080","0","0","0"
"1610013","0","0","0"
"1610021","0","0","0"
"1610053","0","0","0"
"1610075","0","0","0"
"1610101","0","0","0"
"1610167","0","0","0"
"1620008","0","0","0"
"1620029","0","0","0"
"1620062","0","0","0"
"1620136","0","0","0"
"1620147","0","0","0"
"1620158","0","0","0"
"1630029","0","0","0"
"1630038","0","0","0"
"1630061","0","0","0"
"1630080","0","0","0"
"1630130","0","0","0"
"1630158","0","0","0"
"1640036","0","0","0"
"1640038","0","0","0"
"1640050","0","0","0"
"1640098","0","0","0"
"1640106","0","0","0"
"1640140","0","0","0"
"1650012","0","0","0"
"1650015","0","0","0"
"1650038","0","0","0"
"1650104","0","0","0"
"1650127","0","0","0"
"1650162","0","0","0"
"1660039","0","0","0"
"1660083","0","0","0"
"1660096","0","0","0"
"1660097","0","0","0"
"1660152","0","0","0"
"1660158","0","0","0"
"1670002","0","0","0"
"1670005","0","0","0"
"1670021","0","0","0"
"1670074","0","0","0"
"1670127","0","0","0"
"1670131","0","0","0"
"1680015","0","0","0"
"1680022","0","0","0"
"1680033","0","0","0"
"1680113","0","0","0"
"1680155","0","0","0"
"1690022","0","0","0"
"1690053","0","0","0"
"1690063","0","0","0"
"1690067","0","0","0"
"1690095","0","0","0"
"1690150","0","0","0"
"1700006","0","0","0"
"1700013","0","0","0"
"1700027","0","0","0"
"1700042","0","0","0"
"1700082","0","0","0"
"1700105","0","0","0"
"1710023","0","0","0"
"1710030","0","0","0"
"1710033","0","0","0"
"1710058","0","0","0"
"1710132","0","0","0"
"1710138","0","0","0"
"1720001","0","0","0"
"1720008","0","0","0"
"1720020","0","0","0"
"1720052","0","0","0"
"1720100","0","0","0"
"1720127","0","0","0"
"1730003","0","0","0"
"1730030","0","0","0"
"1730040","0","0","0"
"1730051","0","0","0"
"1730116","0","0","0"
"1730139","0","0","0"
"1740024","0","0","0"
"1740027","0","0","0"
"1740039","0","0","0"
"1740041","0","0","0"
"1740092","0","0","0"
"1740147","0","0","0"
"1750013","0","0","0"
"1750047","0","0","0"
"1750071","0","0","0"
"1750074","0","0","0"
"1750135","0","0","0"
"1760003","0","0","0"
"1760013","0","0","0"
"1760020","0","0","0"
"1760022","0","0","0"
"1760124","0","0","0"
"1760134","0","0","0"
"1770023","0","0","0"
"1770024","0","0","0"
"1770044","0","0","0"
"1770057","0.03125","0.03125","0.03125"
"1770104","0","0","0"
"1770141","0","0","0"
"1780000","0","0","0"
"1780008","0","0","0"
"1780019","0","0","0"
"1780037","0","0","0"
"1780050","0","0","0"
"1780070","0","0","0"
"1790001","0","0","0"
"1790024","0","0","0"
"1790044","0","0","0"
"1790046","0","0","0"
"1790064","0","0","0"
"1790070","0","0","0"
"1800004","0","0","0"
"1800012","0","0","0"
"1800016","0","0","0"
"1800034","0","0","0"
"1800049","0","0","0"
"1800061","0","0","0"
"1810026","0","0","0"
"1810042","0","0","0"
"1810061","0","0","0"
"1810093","0","0","0"
"1810139","0","0","0"
"1820062","0","0","0"
"1820068","0","0","0"
"1820072","0","0","0"
"1820080","0","0","0"
"1820138","0","0","0"
"1820157","0","0","0"
"1830000","0","0","0"
"1830001","0","0","0"
"1830009","0","0","0"
"1830014","0","0","0"
"1830129","0","0","0"
"1830154","0","0","0"
"1840002","0","0","0"
"1840013","0","0","0"
"1840034","0","0","0"
"1840083","0","0","0"
"1840086","0","0","0"
"1840146","0","0","0"
"1850004","0","0","0"
"1850029","0","0","0"
"1850033","0","0","0"
"1850075","0","0","0"
"1850119","0","0","0"
"1850129","0","0","0"
"1860011","0","0","0"
"1860024","0","0","0"
"1860037","0","0","0"
"1860038","0","0","0"
"1860048","0","0","0"
"1860067","0","0","0"
"1870002","0","0","0"
"1870016","0","0","0"
"1870063","0","0","0"
"1870076","0","0","0"
"1870162","0","0","0"
"1880002","0","0","0"
"1880005","0","0","0"
"1880017","0","0","0"
"1880019","0","0","0"
"1880024","0","0","0"
"1880080","0","0","0"
"1890009","0","0","0"
"1890022","0","0","0"
"1890025","0","0","0"
"1890107","0","0","0"
"1890124","0","0","0"
"1890152","0","0","0"
"1900020","0","0","0"
"1900040","0","0","0"
"1900077","0","0","0"
