"Step","Group: 5m_vs_6m_ACORM - win_rate","Group: 5m_vs_6m_ACORM - win_rate__MIN","Group: 5m_vs_6m_ACORM - win_rate__MAX"
"1010617","0.625","0.625","0.625"
"1010619","0.8125","0.8125","0.8125"
"1010622","0.5625","0.5625","0.5625"
"1020606","0.78125","0.78125","0.78125"
"1020614","0.75","0.75","0.75"
"1020617","0.6875","0.6875","0.6875"
"1020620","0.625","0.625","0.625"
"1020626","0.75","0.75","0.75"
"1020658","0.28125","0.28125","0.28125"
"1030600","0.59375","0.59375","0.59375"
"1030603","0.65625","0.65625","0.65625"
"1030608","0.75","0.75","0.75"
"1030614","0.71875","0.71875","0.71875"
"1030623","0.46875","0.46875","0.46875"
"1030625","0.75","0.75","0.75"
"1040601","0.75","0.75","0.75"
"1040605","0.46875","0.46875","0.46875"
"1040606","0.40625","0.40625","0.40625"
"1040614","0.78125","0.78125","0.78125"
"1040616","0.75","0.75","0.75"
"1040642","0.34375","0.34375","0.34375"
"1050601","0.59375","0.46875","0.71875"
"1050603","0.71875","0.71875","0.71875"
"1050604","0.6875","0.6875","0.6875"
"1050605","0.640625","0.625","0.65625"
"1060603","0.53125","0.53125","0.53125"
"1060616","0.375","0.375","0.375"
"1060617","0.75","0.75","0.75"
"1060622","0.65625","0.65625","0.65625"
"1060624","0.59375","0.59375","0.59375"
"1060627","0.46875","0.46875","0.46875"
"1070606","0.34375","0.34375","0.34375"
"1070607","0.65625","0.65625","0.65625"
"1070610","0.75","0.75","0.75"
"1070617","0.84375","0.84375","0.84375"
"1070621","0.6875","0.6875","0.6875"
"1070623","0.75","0.75","0.75"
"1080603","0.59375","0.59375","0.59375"
"1080608","0.84375","0.84375","0.84375"
"1080609","0.75","0.75","0.75"
"1080610","0.6875","0.6875","0.6875"
"1080612","0.75","0.75","0.75"
"1080620","0.71875","0.71875","0.71875"
"1090611","0.59375","0.59375","0.59375"
"1090615","0.71875","0.71875","0.71875"
"1090619","0.734375","0.71875","0.75"
"1090622","0.59375","0.59375","0.59375"
"1100601","0.46875","0.46875","0.46875"
"1100617","0.65625","0.65625","0.65625"
"1100618","0.75","0.75","0.75"
"1100619","0.375","0.375","0.375"
"1100623","0.65625","0.65625","0.65625"
"1100624","0.625","0.625","0.625"
"1110603","0.6875","0.6875","0.6875"
"1110605","0.5625","0.5625","0.5625"
"1110617","0.46875","0.46875","0.46875"
"1110619","0.59375","0.59375","0.59375"
"1110620","0.65625","0.65625","0.65625"
"1110624","0.6875","0.6875","0.6875"
"1120600","0.6875","0.6875","0.6875"
"1120603","0.75","0.75","0.75"
"1120612","0.625","0.625","0.625"
"1120616","0.53125","0.53125","0.53125"
"1120618","0.53125","0.53125","0.53125"
"1120628","0.5625","0.5625","0.5625"
"1130602","0.828125","0.75","0.90625"
"1130608","0.53125","0.53125","0.53125"
"1130611","0.53125","0.53125","0.53125"
"1130620","0.625","0.625","0.625"
"1130624","0.75","0.75","0.75"
"1140600","0.90625","0.90625","0.90625"
"1140601","0.46875","0.46875","0.46875"
"1140605","0.625","0.625","0.625"
"1140609","0.75","0.75","0.75"
"1140626","0.75","0.75","0.75"
"1140628","0.90625","0.90625","0.90625"
"1150606","0.71875","0.71875","0.71875"
"1150615","0.6875","0.6875","0.6875"
"1150616","0.65625","0.625","0.6875"
"1150624","0.65625","0.65625","0.65625"
"1150659","0.5625","0.5625","0.5625"
"1160607","0.75","0.75","0.75"
"1160608","0.71875","0.71875","0.71875"
"1160610","0.71875","0.71875","0.71875"
"1160612","0.8125","0.8125","0.8125"
"1160617","0.75","0.75","0.75"
"1160623","0.65625","0.65625","0.65625"
"1170600","0.65625","0.65625","0.65625"
"1170603","0.53125","0.53125","0.53125"
"1170616","0.5","0.5","0.5"
"1170618","0.6875","0.6875","0.6875"
"1170620","0.71875","0.71875","0.71875"
"1170622","0.71875","0.71875","0.71875"
"1180600","0.4375","0.4375","0.4375"
"1180606","0.53125","0.53125","0.53125"
"1180609","0.671875","0.59375","0.75"
"1180620","0.671875","0.59375","0.75"
"1190608","0.59375","0.59375","0.59375"
"1190612","0.6875","0.59375","0.78125"
"1190613","0.546875","0.4375","0.65625"
"1190647","0.53125","0.53125","0.53125"
"1200604","0.71875","0.71875","0.71875"
"1200605","0.71875","0.71875","0.71875"
"1200611","0.6875","0.6875","0.6875"
"1200617","0.65625","0.65625","0.65625"
"1200622","0.84375","0.84375","0.84375"
"1200625","0.65625","0.65625","0.65625"
"1210603","0.6875","0.6875","0.6875"
"1210610","0.6875","0.6875","0.6875"
"1210614","0.84375","0.84375","0.84375"
"1210619","0.6875","0.6875","0.6875"
"1210621","0.4375","0.4375","0.4375"
"1210648","0.625","0.625","0.625"
"1220602","0.78125","0.78125","0.78125"
"1220604","0.6875","0.6875","0.6875"
"1220607","0.53125","0.53125","0.53125"
"1220608","0.4375","0.4375","0.4375"
"1220619","0.71875","0.71875","0.71875"
"1220621","0.71875","0.71875","0.71875"
"1230609","0.71875","0.71875","0.71875"
"1230610","0.8125","0.8125","0.8125"
"1230616","0.6458333333333334","0.5625","0.71875"
"1230621","0.65625","0.65625","0.65625"
"1240605","0.8125","0.8125","0.8125"
"1240606","0.5","0.5","0.5"
"1240611","0.65625","0.65625","0.65625"
"1240612","0.78125","0.78125","0.78125"
"1240616","0.53125","0.53125","0.53125"
"1240620","0.75","0.75","0.75"
"1250601","0.71875","0.71875","0.71875"
"1250605","0.53125","0.46875","0.59375"
"1250609","0.53125","0.53125","0.53125"
"1250617","0.875","0.875","0.875"
"1250655","0.5625","0.5625","0.5625"
"1260602","0.5625","0.5625","0.5625"
"1260603","0.8125","0.8125","0.8125"
"1260605","0.5625","0.5625","0.5625"
"1260614","0.75","0.75","0.75"
"1260616","0.625","0.625","0.625"
"1260620","0.53125","0.53125","0.53125"
"1270602","0.78125","0.78125","0.78125"
"1270609","0.8125","0.8125","0.8125"
"1270614","0.71875","0.71875","0.71875"
"1270616","0.8125","0.8125","0.8125"
"1270620","0.5","0.5","0.5"
"1270625","0.625","0.625","0.625"
"1280603","0.53125","0.53125","0.53125"
"1280605","0.65625","0.65625","0.65625"
"1280615","0.71875","0.71875","0.71875"
"1280620","0.71875","0.71875","0.71875"
"1280624","0.84375","0.84375","0.84375"
"1280633","0.46875","0.46875","0.46875"
"1290602","0.71875","0.71875","0.71875"
"1290611","0.65625","0.65625","0.65625"
"1290612","0.40625","0.40625","0.40625"
"1290614","0.75","0.75","0.75"
"1290617","0.8125","0.8125","0.8125"
"1290618","0.8125","0.8125","0.8125"
"1300606","0.71875","0.71875","0.71875"
"1300609","0.65625","0.65625","0.65625"
"1300616","0.75","0.75","0.75"
"1300617","0.5","0.5","0.5"
"1300620","0.59375","0.59375","0.59375"
"1300622","0.8125","0.8125","0.8125"
