"Step","Group: 6h_vs_8z_ACORM_WM - win_rate","Group: 6h_vs_8z_ACORM_WM - win_rate__MIN","Group: 6h_vs_8z_ACORM_WM - win_rate__MAX","Group: 6h_vs_8z_ACORM_WM_ - win_rate","Group: 6h_vs_8z_ACORM_WM_ - win_rate__MIN","Group: 6h_vs_8z_ACORM_WM_ - win_rate__MAX"
"1510222","0.0625","0.0625","0.0625","","",""
"1510223","","","","0.21875","0.21875","0.21875"
"1510233","0.0625","0.0625","0.0625","","",""
"1510242","0.09375","0.09375","0.09375","","",""
"1510249","0.25","0.25","0.25","","",""
"1520230","0.09375","0.09375","0.09375","","",""
"1520233","0.125","0.125","0.125","","",""
"1520238","0.15625","0.15625","0.15625","0.25","0.25","0.25"
"1520240","0.3125","0.3125","0.3125","","",""
"1530238","0.28125","0.28125","0.28125","","",""
"1530243","0.09375","0.09375","0.09375","","",""
"1530248","0.0625","0.0625","0.0625","","",""
"1530249","0.0625","0.0625","0.0625","","",""
"1530259","","","","0.28125","0.28125","0.28125"
"1540245","0.03125","0.03125","0.03125","0.34375","0.34375","0.34375"
"1540253","0.40625","0.40625","0.40625","","",""
"1540257","0.046875","0.03125","0.0625","","",""
"1550233","","","","0.25","0.25","0.25"
"1550236","0.09375","0.09375","0.09375","","",""
"1550241","0.171875","0.125","0.21875","","",""
"1550243","0.09375","0.09375","0.09375","","",""
"1560220","0.25","0.25","0.25","","",""
"1560231","","","","0.34375","0.34375","0.34375"
"1560235","0.09375","0.09375","0.09375","","",""
"1560252","0.03125","0.03125","0.03125","","",""
"1560253","0.09375","0.09375","0.09375","","",""
"1570230","0.0625","0.0625","0.0625","","",""
"1570242","","","","0.3125","0.3125","0.3125"
"1570245","0.0625","0.0625","0.0625","","",""
"1570253","0.5","0.5","0.5","","",""
"1570257","0.03125","0.03125","0.03125","","",""
"1580220","0.3125","0.3125","0.3125","","",""
"1580244","0.09375","0.09375","0.09375","","",""
"1580247","0.15625","0.15625","0.15625","","",""
"1580252","","","","0.3125","0.3125","0.3125"
"1580258","0.0625","0.0625","0.0625","","",""
"1590224","0.109375","0.09375","0.125","","",""
