"Step","Group: 6h_vs_8z_QMIX - win_rate","Group: 6h_vs_8z_QMIX - win_rate__MIN","Group: 6h_vs_8z_QMIX - win_rate__MAX"
"1640015","0","0","0"
"1640020","0","0","0"
"1640022","0","0","0"
"1650002","0","0","0"
"1650003","0.03125","0.03125","0.03125"
"1650007","0","0","0"
"1650015","0","0","0"
"1650016","0","0","0"
"1650021","0","0","0"
"1660000","0","0","0"
"1660001","0","0","0"
"1660003","0","0","0"
"1660010","0","0","0"
"1660011","0","0","0"
"1660018","0","0","0"
"1670000","0","0","0"
"1670010","0","0","0"
"1670012","0","0","0"
"1670013","0","0","0"
"1670019","0","0","0"
"1670021","0","0","0"
"1680008","0","0","0"
"1680023","0","0","0"
"1680025","0","0","0"
"1680029","0","0","0"
"1690000","0","0","0"
"1690002","0","0","0"
"1690003","0","0","0"
"1690014","0","0","0"
"1690022","0","0","0"
"1690027","0","0","0"
"1700000","0","0","0"
"1700009","0","0","0"
"1700010","0","0","0"
"1700012","0","0","0"
"1700021","0","0","0"
"1700023","0","0","0"
"1710005","0","0","0"
"1710008","0","0","0"
"1710011","0","0","0"
"1710015","0","0","0"
"1710016","0","0","0"
"1720003","0","0","0"
"1720009","0","0","0"
"1720016","0","0","0"
"1720017","0","0","0"
"1720019","0","0","0"
"1720023","0","0","0"
"1730000","0","0","0"
"1730007","0","0","0"
"1730009","0","0","0"
"1730013","0","0","0"
"1730022","0","0","0"
"1740000","0","0","0"
"1740005","0","0","0"
"1740011","0","0","0"
"1740014","0","0","0"
"1740020","0","0","0"
"1740024","0","0","0"
"1750007","0","0","0"
"1750008","0","0","0"
"1750020","0","0","0"
"1750025","0","0","0"
"1760003","0","0","0"
"1760010","0","0","0"
"1760012","0","0","0"
"1760017","0","0","0"
"1760022","0","0","0"
"1760025","0","0","0"
"1770004","0","0","0"
"1770008","0","0","0"
"1770013","0","0","0"
"1770017","0","0","0"
"1770020","0","0","0"
"1770021","0","0","0"
"1780000","0","0","0"
"1780004","0","0","0"
"1780008","0","0","0"
"1780015","0","0","0"
"1780018","0","0","0"
"1790001","0","0","0"
"1790004","0","0","0"
"1790006","0","0","0"
"1790007","0","0","0"
"1790022","0","0","0"
"1790026","0","0","0"
"1800002","0","0","0"
"1800010","0","0","0"
"1800011","0","0","0"
"1800016","0","0","0"
"1800019","0","0","0"
"1800024","0","0","0"
"1810001","0","0","0"
"1810005","0","0","0"
"1810012","0","0","0"
"1810018","0","0","0"
"1810025","0","0","0"
"1810027","0","0","0"
"1820003","0","0","0"
"1820012","0","0","0"
"1820014","0","0","0"
"1820016","0","0","0"
"1820021","0","0","0"
"1830004","0","0","0"
"1830007","0","0","0"
"1830010","0","0","0"
"1830013","0","0","0"
"1830023","0","0","0"
"1830026","0","0","0"
"1840003","0","0","0"
"1840006","0","0","0"
"1840010","0","0","0"
"1840019","0","0","0"
"1850002","0","0","0"
"1850003","0","0","0"
"1850014","0","0","0"
"1850017","0","0","0"
"1850020","0","0","0"
"1850024","0","0","0"
"1860009","0","0","0"
"1860010","0","0","0"
"1860016","0","0","0"
"1860019","0","0","0"
"1860030","0","0","0"
"1870001","0","0","0"
"1870005","0","0","0"
"1870008","0","0","0"
"1870020","0","0","0"
"1880001","0","0","0"
"1880007","0","0","0"
"1880014","0.03125","0.03125","0.03125"
"1880015","0","0","0"
"1880017","0","0","0"
"1890001","0","0","0"
"1890004","0","0","0"
"1890008","0","0","0"
"1890011","0","0","0"
"1890014","0","0","0"
"1900004","0","0","0"
"1900009","0","0","0"
"1900012","0","0","0"
"1900014","0","0","0"
"1900016","0","0","0"
"1910011","0","0","0"
"1910012","0","0","0"
"1910015","0","0","0"
"1910018","0","0","0"
"1910021","0","0","0"
"1920000","0","0","0"
"1920010","0","0","0"
"1920016","0","0","0"
"1920023","0","0","0"
"1920025","0","0","0"
"1930014","0","0","0"
"1930016","0","0","0"
"1930018","0","0","0"
"1930022","0","0","0"
"1930024","0","0","0"
"1940002","0","0","0"
"1940003","0","0","0"
"1940007","0","0","0"
"1940011","0","0","0"
"1940015","0","0","0"
"1940016","0","0","0"
"1950001","0","0","0"
"1950005","0","0","0"
"1950019","0","0","0"
"1950020","0","0","0"
"1950022","0","0","0"
"1960016","0","0","0"
"1960026","0","0","0"
"1960027","0","0","0"
"1960028","0","0","0"
"1970003","0","0","0"
"1970011","0","0","0"
"1970017","0","0","0"
"1970018","0","0","0"
"1970028","0","0","0"
"1980001","0","0","0"
"1980007","0","0","0"
"1980010","0","0","0"
"1980011","0","0","0"
"1980016","0","0","0"
"1980017","0","0","0"
"1990001","0","0","0"
"1990005","0","0","0"
"1990009","0","0","0"
"1990011","0","0","0"
"1990024","0","0","0"
"2000001","0","0","0"
"2000004","0","0","0"
"2000015","0","0","0"
"2000021","0","0","0"
"2000025","0","0","0"
"2010000","0","0","0"
"2010007","0","0","0"
"2010012","0","0","0"
"2010016","0","0","0"
"2010018","0","0","0"
"2010019","0","0","0"
"2020001","0","0","0"
"2020006","0","0","0"
"2020007","0","0","0"
"2020011","0","0","0"
"2020017","0","0","0"
"2020019","0","0","0"
"2030012","0","0","0"
"2030013","0","0","0"
"2030017","0","0","0"
"2030021","0","0","0"
"2030022","0","0","0"
"2030025","0","0","0"
"2040001","0","0","0"
"2040003","0","0","0"
"2040005","0","0","0"
"2040015","0","0","0"
"2040017","0","0","0"
"2040022","0","0","0"
"2050000","0","0","0"
"2050012","0","0","0"
"2050015","0","0","0"
"2050016","0","0","0"
"2050019","0","0","0"
"2050025","0","0","0"
"2060000","0","0","0"
"2060002","0","0","0"
"2060005","0","0","0"
"2060009","0","0","0"
"2060010","0","0","0"
"2060018","0","0","0"
"2070000","0","0","0"
"2070004","0","0","0"
"2070009","0","0","0"
"2070016","0","0","0"
"2070021","0","0","0"
"2070024","0","0","0"
"2080000","0","0","0"
"2080004","0","0","0"
"2080012","0","0","0"
"2080013","0","0","0"
"2080026","0","0","0"
"2090005","0","0","0"
"2090007","0","0","0"
"2090008","0","0","0"
"2090010","0","0","0"
"2090012","0","0","0"
"2090023","0","0","0"
"2100001","0","0","0"
"2100008","0","0","0"
"2100016","0","0","0"
"2100017","0","0","0"
"2100018","0","0","0"
"2110006","0","0","0"
"2110010","0","0","0"
"2110011","0","0","0"
"2110012","0","0","0"
"2110024","0","0","0"
"2110025","0","0","0"
"2120001","0","0","0"
"2120005","0","0","0"
"2120011","0","0","0"
"2120015","0","0","0"
"2120018","0","0","0"
"2120030","0","0","0"
"2130001","0","0","0"
"2130008","0","0","0"
"2130021","0","0","0"
"2130022","0","0","0"
"2130024","0","0","0"
"2130027","0","0","0"
"2140002","0","0","0"
"2140010","0","0","0"
"2140019","0","0","0"
"2140024","0","0","0"
"2140029","0","0","0"
"2150001","0","0","0"
"2150006","0","0","0"
"2150007","0","0","0"
"2150020","0","0","0"
"2150021","0","0","0"
"2160005","0","0","0"
"2160006","0","0","0"
"2160008","0","0","0"
"2160010","0","0","0"
"2160027","0","0","0"
"2170008","0","0","0"
"2170016","0","0","0"
"2170017","0","0","0"
"2170021","0","0","0"
"2170026","0","0","0"
"2180005","0","0","0"
"2180010","0","0","0"
"2180012","0","0","0"
"2180016","0","0","0"
"2190000","0","0","0"
"2190010","0","0","0"
"2190019","0","0","0"
"2190024","0","0","0"
"2190025","0","0","0"
"2200004","0","0","0"
"2200007","0","0","0"
