"Step","Group: MMM2_QMIX - win_rate","Group: MMM2_QMIX - win_rate__MIN","Group: MMM2_QMIX - win_rate__MAX"
"1220051","0.1875","0.1875","0.1875"
"1220126","0.03125","0.03125","0.03125"
"1230022","0.03125","0.03125","0.03125"
"1230039","0.09375","0.09375","0.09375"
"1230043","0.125","0.125","0.125"
"1230054","0.125","0.125","0.125"
"1230063","0.5625","0.5625","0.5625"
"1230068","0.28125","0.28125","0.28125"
"1240004","0.0625","0.0625","0.0625"
"1240010","0.140625","0.03125","0.25"
"1240027","0.21875","0.21875","0.21875"
"1240034","0.125","0.125","0.125"
"1240053","0.28125","0.28125","0.28125"
"1250007","0.46875","0.46875","0.46875"
"1250017","0.1875","0.1875","0.1875"
"1250038","0.125","0.125","0.125"
"1250045","0.125","0.125","0.125"
"1250046","0.15625","0.15625","0.15625"
"1250082","0.28125","0.28125","0.28125"
"1260002","0.09375","0.09375","0.09375"
"1260008","0.15625","0.15625","0.15625"
"1260020","0","0","0"
"1260028","0.5625","0.5625","0.5625"
"1260035","0.21875","0.21875","0.21875"
"1260118","0.15625","0.15625","0.15625"
"1270007","0.28125","0.28125","0.28125"
"1270013","0.46875","0.46875","0.46875"
"1270018","0.21875","0.21875","0.21875"
"1270044","0.03125","0.03125","0.03125"
"1270076","0.09375","0.09375","0.09375"
"1270163","0","0","0"
"1280022","0.3125","0.3125","0.3125"
"1280034","0.125","0.125","0.125"
"1280040","0.0625","0.0625","0.0625"
"1280096","0.125","0.125","0.125"
"1280139","0.59375","0.59375","0.59375"
"1280152","0.1875","0.1875","0.1875"
"1290002","0.0625","0.0625","0.0625"
"1290014","0.5","0.5","0.5"
"1290020","0.03125","0.03125","0.03125"
"1290030","0.21875","0.21875","0.21875"
"1290042","0.375","0.375","0.375"
"1290053","0.21875","0.21875","0.21875"
"1300000","0.53125","0.53125","0.53125"
"1300032","0.15625","0.15625","0.15625"
"1300037","0.53125","0.53125","0.53125"
"1300049","0.0625","0.0625","0.0625"
"1300127","0.03125","0.03125","0.03125"
"1300144","0.09375","0.09375","0.09375"
"1310005","0.5","0.5","0.5"
"1310007","0.28125","0.28125","0.28125"
"1310033","0.03125","0.03125","0.03125"
"1310063","0.03125","0.03125","0.03125"
"1310133","0.09375","0.09375","0.09375"
"1310135","0.0625","0.0625","0.0625"
"1320001","0.3125","0.3125","0.3125"
"1320014","0.59375","0.59375","0.59375"
"1320019","0.4375","0.4375","0.4375"
"1320041","0.25","0.25","0.25"
"1320053","0.15625","0.15625","0.15625"
"1320119","0.15625","0.15625","0.15625"
"1330009","0.34375","0.34375","0.34375"
"1330014","0.15625","0.15625","0.15625"
"1330025","0.09375","0.09375","0.09375"
"1330048","0.09375","0.09375","0.09375"
"1330067","0","0","0"
"1330116","0.125","0.125","0.125"
"1340016","0.0625","0.0625","0.0625"
"1340026","0.5","0.5","0.5"
"1340032","0.125","0.125","0.125"
"1340056","0.0625","0.0625","0.0625"
"1340063","0.125","0.125","0.125"
"1340104","0.09375","0.09375","0.09375"
"1350002","0","0","0"
"1350014","0.125","0.125","0.125"
"1350039","0.125","0.125","0.125"
"1350047","0.125","0.125","0.125"
"1350051","0.34375","0.34375","0.34375"
"1350054","0.0625","0.0625","0.0625"
"1360013","0.03125","0.03125","0.03125"
"1360016","0.28125","0.28125","0.28125"
"1360033","0.15625","0.15625","0.15625"
"1360039","0.3125","0.3125","0.3125"
"1360042","0.125","0.125","0.125"
"1360048","0.125","0.125","0.125"
"1370005","0.28125","0.28125","0.28125"
"1370010","0.34375","0.34375","0.34375"
"1370017","0.21875","0.21875","0.21875"
"1370040","0.0625","0.0625","0.0625"
"1370056","0.53125","0.53125","0.53125"
"1380007","0.375","0.375","0.375"
"1380014","0.34375","0.34375","0.34375"
"1380032","0.0625","0.0625","0.0625"
"1380041","0.28125","0.28125","0.28125"
"1380116","0.4375","0.4375","0.4375"
"1380164","0.15625","0.15625","0.15625"
"1390001","0.40625","0.40625","0.40625"
"1390003","0.15625","0.15625","0.15625"
"1390009","0.125","0.125","0.125"
"1390010","0.0625","0.0625","0.0625"
