"Step","Group: MMM2_ACORM - win_rate","Group: MMM2_ACORM - win_rate__MIN","Group: MMM2_ACORM - win_rate__MAX"
"790247","0.65625","0.65625","0.65625"
"790258","0.84375","0.84375","0.84375"
"790263","0.9375","0.9375","0.9375"
"800250","0.75","0.75","0.75"
"800256","0.59375","0.59375","0.59375"
"800263","0.78125","0.78125","0.78125"
"800267","0.75","0.75","0.75"
"800281","0.65625","0.65625","0.65625"
"810232","0.8125","0.8125","0.8125"
"810247","0.8125","0.8125","0.8125"
"810252","0.6875","0.65625","0.71875"
"810391","0.78125","0.78125","0.78125"
"820223","0.75","0.75","0.75"
"820245","0.71875","0.71875","0.71875"
"820252","0.78125","0.78125","0.78125"
"820256","0.8125","0.8125","0.8125"
"820259","0.6875","0.6875","0.6875"
"830220","0.65625","0.65625","0.65625"
"830221","0.6875","0.6875","0.6875"
"830238","0.78125","0.78125","0.78125"
"830251","0.71875","0.71875","0.71875"
"830276","0.5625","0.5625","0.5625"
"840225","0.6875","0.6875","0.6875"
"840240","0.8125","0.8125","0.8125"
"840259","0.84375","0.84375","0.84375"
"840266","0.875","0.875","0.875"
"840323","0.75","0.75","0.75"
"850247","0.78125","0.78125","0.78125"
"850249","0.9375","0.9375","0.9375"
"850265","0.8125","0.75","0.875"
"850383","0.71875","0.71875","0.71875"
"860246","0.8125","0.8125","0.8125"
"860260","0.53125","0.53125","0.53125"
"860267","0.9375","0.9375","0.9375"
"860270","0.71875","0.71875","0.71875"
"860274","0.65625","0.65625","0.65625"
"870235","0.65625","0.65625","0.65625"
"870238","0.6875","0.6875","0.6875"
"870249","0.8125","0.8125","0.8125"
"870260","0.65625","0.65625","0.65625"
"870292","0.71875","0.71875","0.71875"
"880222","0.96875","0.96875","0.96875"
"880223","0.3125","0.3125","0.3125"
"880236","0.875","0.875","0.875"
"880256","0.75","0.75","0.75"
"880283","0.84375","0.84375","0.84375"
"890259","0.6875","0.6875","0.6875"
"890270","0.625","0.625","0.625"
"890275","0.90625","0.90625","0.90625"
"890299","0.8125","0.8125","0.8125"
"890303","0.8125","0.8125","0.8125"
"900222","0.71875","0.71875","0.71875"
"900236","0.8125","0.8125","0.8125"
"900313","0.625","0.625","0.625"
"900351","0.6875","0.6875","0.6875"
"900359","0.8125","0.8125","0.8125"
"910226","0.78125","0.78125","0.78125"
"910231","0.875","0.875","0.875"
"910234","0.96875","0.96875","0.96875"
"910255","0.65625","0.65625","0.65625"
"910257","0.8125","0.8125","0.8125"
"920224","0.71875","0.71875","0.71875"
"920240","0.65625","0.65625","0.65625"
"920256","0.8125","0.8125","0.8125"
"920283","0.71875","0.71875","0.71875"
"920306","0.625","0.625","0.625"
"930235","0.78125","0.78125","0.78125"
"930243","0.9375","0.9375","0.9375"
"930259","0.75","0.75","0.75"
"930263","0.84375","0.84375","0.84375"
"930280","0.84375","0.84375","0.84375"
"940220","0.8125","0.8125","0.8125"
"940225","0.53125","0.53125","0.53125"
"940227","0.84375","0.84375","0.84375"
"940268","0.40625","0.40625","0.40625"
"940368","0.8125","0.8125","0.8125"
"950228","0.8125","0.8125","0.8125"
"950236","0.9375","0.9375","0.9375"
"950241","0.78125","0.78125","0.78125"
"950246","0.8125","0.8125","0.8125"
"950271","0.875","0.875","0.875"
"960224","0.90625","0.90625","0.90625"
"960230","0.875","0.875","0.875"
"960242","0.90625","0.90625","0.90625"
"960254","0.6875","0.6875","0.6875"
"960350","0.78125","0.78125","0.78125"
"970220","0.78125","0.78125","0.78125"
"970228","0.78125","0.78125","0.78125"
"970248","0.8125","0.8125","0.8125"
"970249","0.9375","0.9375","0.9375"
"970320","0.9375","0.9375","0.9375"
"980220","0.71875","0.71875","0.71875"
"980224","0.84375","0.84375","0.84375"
"980230","0.75","0.75","0.75"
"980254","0.65625","0.65625","0.65625"
"980272","0.78125","0.78125","0.78125"
"990247","0.71875","0.71875","0.71875"
"990256","0.625","0.625","0.625"
"990260","0.875","0.875","0.875"
"990269","0.84375","0.84375","0.84375"
"990271","0.6875","0.6875","0.6875"
"1000224","0.84375","0.84375","0.84375"
"1000252","0.765625","0.75","0.78125"
"1000267","0.84375","0.84375","0.84375"
"1000275","0.8125","0.8125","0.8125"
"1010220","0.78125","0.78125","0.78125"
"1010242","0.8125","0.8125","0.8125"
"1010244","0.96875","0.96875","0.96875"
"1010359","0.875","0.875","0.875"
"1010381","0.8125","0.8125","0.8125"
"1020225","0.75","0.75","0.75"
"1020229","0.71875","0.71875","0.71875"
"1020255","0.875","0.875","0.875"
"1020261","0.75","0.75","0.75"
"1020293","0.9375","0.9375","0.9375"
"1030220","0.78125","0.78125","0.78125"
"1030221","0.78125","0.78125","0.78125"
"1030231","0.75","0.75","0.75"
"1030233","0.59375","0.59375","0.59375"
"1030324","0.875","0.875","0.875"
"1040260","0.53125","0.53125","0.53125"
"1040263","0.8125","0.8125","0.8125"
"1040265","0.6875","0.6875","0.6875"
"1040273","0.6875","0.6875","0.6875"
"1040387","0.875","0.875","0.875"
"1050230","0.75","0.75","0.75"
"1050248","0.875","0.875","0.875"
"1050267","0.84375","0.84375","0.84375"
"1050269","0.8125","0.8125","0.8125"
"1050278","0.6875","0.6875","0.6875"
"1060256","0.8125","0.8125","0.8125"
"1060262","0.90625","0.90625","0.90625"
"1060266","0.796875","0.75","0.84375"
"1060311","0.84375","0.84375","0.84375"
"1070255","0.78125","0.78125","0.78125"
"1070269","0.65625","0.65625","0.65625"
"1070278","0.90625","0.90625","0.90625"
"1070279","0.75","0.75","0.75"
"1070368","0.78125","0.78125","0.78125"
"1080223","0.875","0.875","0.875"
"1080236","0.84375","0.84375","0.84375"
