"Step","Group: 27m_vs_30m_ACORM_WM - win_rate","Group: 27m_vs_30m_ACORM_WM - win_rate__MIN","Group: 27m_vs_30m_ACORM_WM - win_rate__MAX"
"1560762","0.78125","0.78125","0.78125"
"1560766","0.65625","0.65625","0.65625"
"1560787","0.6875","0.6875","0.6875"
"1570232","0.78125","0.78125","0.78125"
"1570772","0.375","0.375","0.375"
"1570773","0.6875","0.6875","0.6875"
"1570786","0.59375","0.59375","0.59375"
"1580225","0.625","0.625","0.625"
"1580767","0.84375","0.84375","0.84375"
"1580775","0.5","0.5","0.5"
"1580797","0.71875","0.71875","0.71875"
"1590243","0.71875","0.71875","0.71875"
"1590750","0.78125","0.78125","0.78125"
"1590839","0.59375","0.59375","0.59375"
"1590885","0.8125","0.8125","0.8125"
"1600232","0.4375","0.4375","0.4375"
"1600776","0.8125","0.8125","0.8125"
"1600782","0.875","0.875","0.875"
"1600783","0.5","0.5","0.5"
"1610235","0.75","0.75","0.75"
"1610756","0.875","0.875","0.875"
"1610759","0.6875","0.6875","0.6875"
"1610779","0.5","0.5","0.5"
"1620235","0.78125","0.78125","0.78125"
"1620752","0.78125","0.78125","0.78125"
"1620769","0.59375","0.59375","0.59375"
"1620782","0.84375","0.84375","0.84375"
"1630330","0.84375","0.84375","0.84375"
"1630750","0.90625","0.90625","0.90625"
"1630760","0.71875","0.71875","0.71875"
"1630784","0.78125","0.78125","0.78125"
"1640232","0.78125","0.78125","0.78125"
"1640766","0.875","0.875","0.875"
"1640769","0.6875","0.6875","0.6875"
"1640785","0.53125","0.53125","0.53125"
"1650227","0.78125","0.78125","0.78125"
"1650768","0.96875","0.96875","0.96875"
"1650769","0.84375","0.78125","0.90625"
"1660233","0.9375","0.9375","0.9375"
"1660763","0.75","0.75","0.75"
"1660778","0.65625","0.65625","0.65625"
"1660799","0.78125","0.78125","0.78125"
"1670229","0.6875","0.6875","0.6875"
"1670758","0.71875","0.71875","0.71875"
"1670761","0.53125","0.53125","0.53125"
"1670764","0.75","0.75","0.75"
"1680247","0.4375","0.4375","0.4375"
"1680756","0.59375","0.59375","0.59375"
"1680776","0.71875","0.71875","0.71875"
