"Step","Group: 27m_vs_30m_ACORM - win_rate","Group: 27m_vs_30m_ACORM - win_rate__MIN","Group: 27m_vs_30m_ACORM - win_rate__MAX"
"1650610","0.90625","0.90625","0.90625"
"1650615","0.75","0.75","0.75"
"1660602","0.84375","0.84375","0.84375"
"1660607","0.75","0.75","0.75"
"1660625","0.8125","0.8125","0.8125"
"1660639","0.71875","0.71875","0.71875"
"1670609","0.84375","0.84375","0.84375"
"1670612","0.84375","0.84375","0.84375"
"1670636","0.90625","0.90625","0.90625"
"1670701","0.8125","0.8125","0.8125"
"1680605","0.6875","0.6875","0.6875"
"1680615","0.8125","0.8125","0.8125"
"1680622","0.78125","0.78125","0.78125"
"1680655","0.90625","0.90625","0.90625"
"1690616","0.734375","0.6875","0.78125"
"1690619","0.71875","0.71875","0.71875"
"1690627","0.90625","0.90625","0.90625"
"1700600","0.6875","0.6875","0.6875"
"1700601","0.75","0.75","0.75"
"1700644","0.8125","0.8125","0.8125"
"1700754","0.875","0.875","0.875"
"1710600","0.78125","0.78125","0.78125"
"1710631","0.875","0.875","0.875"
"1710633","0.6875","0.6875","0.6875"
"1710658","0.84375","0.84375","0.84375"
"1720603","0.875","0.875","0.875"
"1720627","0.84375","0.84375","0.84375"
"1720634","1","1","1"
"1720698","0.46875","0.46875","0.46875"
"1730605","0.625","0.625","0.625"
"1730622","0.9375","0.9375","0.9375"
"1730636","0.875","0.875","0.875"
"1730726","0.875","0.875","0.875"
"1740617","0.78125","0.78125","0.78125"
"1740618","0.625","0.625","0.625"
"1740623","0.90625","0.90625","0.90625"
"1740761","0.875","0.875","0.875"
"1750603","0.71875","0.71875","0.71875"
"1750611","0.71875","0.71875","0.71875"
"1750627","0.84375","0.84375","0.84375"
"1750735","0.6875","0.6875","0.6875"
"1760610","0.6875","0.6875","0.6875"
"1760628","0.71875","0.71875","0.71875"
"1760635","0.71875","0.71875","0.71875"
"1760681","0.71875","0.71875","0.71875"
"1770603","0.78125","0.78125","0.78125"
"1770607","0.75","0.75","0.75"
"1770728","0.875","0.875","0.875"
"1770747","0.71875","0.71875","0.71875"
"1780604","0.90625","0.90625","0.90625"
"1780605","0.1875","0.1875","0.1875"
"1780617","0.65625","0.65625","0.65625"
"1780622","0.90625","0.90625","0.90625"
"1790607","0.625","0.625","0.625"
"1790621","0.8125","0.8125","0.8125"
"1790629","0.90625","0.90625","0.90625"
"1790709","0.78125","0.78125","0.78125"
"1800613","0.78125","0.78125","0.78125"
"1800627","0.8125","0.8125","0.8125"
"1800637","0.8125","0.8125","0.8125"
"1800756","0.625","0.625","0.625"
"1810616","0.78125","0.78125","0.78125"
"1810622","0.53125","0.53125","0.53125"
"1810635","0.875","0.875","0.875"
"1810694","0.5625","0.5625","0.5625"
"1820609","0.5","0.5","0.5"
"1820614","0.53125","0.53125","0.53125"
"1820647","0.8125","0.8125","0.8125"
"1820686","0.65625","0.65625","0.65625"
